0,2014_1,2014_2,2014_3,2014_4,2015_1,2015_2,2015_3,2015_4,2016_1,2016_2,2016_3,2016_4,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4
Белгородская область  ,"95,5","95,6","104,6","100,7","104,3","98,2","96,2","99,8","95,0","109,6","102,7","96,4","110,2","93,3","89,1","105,9","98,4","90,4","102,5","102,6","89,4","106,4","107,4","100,1","105,1","97,1","99,0","93,2","95,1","102,7","102,4","101,3","103,6","104,2","72,7","124,7","99,2","104,6","115,1","103,9"
Брянская область ,"95,3","101,7","106,3","96,0","96,1","96,5","98,6","96,7","91,8","94,6","90,3","102,9","107,2","96,7","100,9","95,0","99,6","100,7","103,2","105,1","98,0","100,3","101,3","101,9","101,7","83,5","95,6","103,6","96,8","109,0","103,7","99,5","102,5","105,3","95,4","103,1","98,3","102,3","102,7","101,4"
Владимирская область,"95,4","103,0","96,4","97,0","107,2","94,7","98,2","99,7","92,2","95,6","94,9","87,1","101,0","101,9","98,6","102,4","94,1","96,1","95,6","99,5","96,7","100,2","104,3","106,3","104,7","95,8","97,3","95,2","97,0","102,3","105,6","99,5","108,5","101,5","92,6","118,5","101,6","106,2","108,7","99,5"
Воронежская область,"105,5","105,4","111,1","101,7","110,0","102,3","102,5","93,2","97,1","99,2","87,2","92,3","98,8","95,9","98,3","97,1","98,0","100,6","100,0","101,3","94,5","99,5","106,5","103,3","103,7","88,7","91,5","98,7","96,0","103,7","102,9","99,1","98,1","101,1","99,5","109,1","101,9","107,5","102,5","101,5"
Ивановская область,"103,0","106,5","100,2","98,7","89,6","90,1","97,3","103,4","105,5","98,6","101,0","91,8","103,7","95,0","95,4","107,2","95,0","99,0","88,7","94,7","94,9","104,7","104,9","95,0","102,4","93,0","96,8","97,2","95,2","102,1","102,9","99,6","98,2","96,4","94,0","119,0","100,5","108,7","108,4","105,3"
Калужская область,"94,1","99,0","103,5","103,3","105,0","99,6","96,7","87,7","92,6","102,5","99,6","96,3","102,3","90,8","87,2","101,1","94,4","99,0","99,2","99,8","101,1","100,4","107,6","102,0","101,6","98,8","102,1","96,0","96,4","104,8","104,3","97,3","100,6","91,6","97,2","119,2","100,8","108,0","104,8","107,7"
Костромская область ,"103,5","102,3","104,4","105,8","101,5","99,7","96,3","97,7","100,3","96,1","97,7","98,8","99,2","100,7","102,4","97,4","98,3","100,8","89,6","90,8","98,2","98,8","102,4","104,6","97,1","94,2","100,6","97,3","94,9","102,7","106,5","103,7","107,5","98,0","90,5","120,9","102,3","105,1","109,8","112,2"
Курская область,"110,3","104,5","112,5","92,2","97,1","102,1","96,0","105,8","92,1","97,2","95,4","89,4","102,6","96,8","96,1","101,3","97,4","102,1","101,0","99,4","100,2","99,9","101,0","102,6","100,8","97,2","98,1","95,7","94,2","102,5","103,8","102,1","101,7","101,5","99,5","106,6","103,1","106,6","104,5","100,6"
Липецкая область,"96,0","106,4","106,2","101,7","98,0","97,5","95,7","94,6","99,6","95,8","96,0","96,5","101,0","100,7","98,4","100,6","98,1","99,5","102,9","99,6","102,3","102,2","105,9","100,9","103,5","92,2","92,6","95,4","93,8","101,5","101,7","99,5","102,2","97,4","101,0","110,1","98,9","105,3","103,6","104,7"
Московская область,"108,4","91,0","88,3","105,7","105,4","98,0","94,5","94,0","104,1","99,2","97,4","98,7","93,0","99,1","102,2","105,2","99,8","103,1","107,1","100,8","98,4","106,2","101,1","104,7","105,0","88,8","94,2","102,6","99,2","113,8","112,8","101,8","102,4","103,1","99,2","92,3","105,0","101,9","108,1","119,1"
